id,label,institution_2,department,institution,projects,groups,url,institution_group,n_affiliations,single_affiliation,n_projects,n_groups,n_publications,n_articles,n_chapters,n_books,n_other,groups_names
0000-0001-5006-2523,"Martín Belmonte, Alejandro",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou239291'],https://portalrecerca.csuc.cat/orcid/0000-0001-5006-2523,[],2,Multiple affiliations,2,21,1,1,0,0,0,['Neuropharmacology and pain']
0000-0001-5035-9212,"Domínguez Rubio, Raúl",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou238794'],https://portalrecerca.csuc.cat/orcid/0000-0001-5035-9212,[],2,Multiple affiliations,2,21,15,15,0,0,0,['Neurologic Diseases and Neurogenetics']
0000-0001-5044-4468,"Prat Pedrola, Ester","['Universitat de Barcelona', ""Institut d'Investigació Biomèdica de Bellvitge""]",['Departament de Ciències Fisiològiques'],['UB'],[],['/cris/ou/ou238810'],https://portalrecerca.csuc.cat/orcid/0000-0001-5044-4468,['UB'],6,Multiple affiliations,2,21,10,10,0,0,0,['Human Molecular Genetics']
0000-0001-5058-1753,"Azuara García, Daniel",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],[],https://portalrecerca.csuc.cat/orcid/0000-0001-5058-1753,[],2,Multiple affiliations,2,2,23,23,0,0,0,[]
0000-0001-5073-9573,"Enriquez Mestre, Marta",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou240924'],https://portalrecerca.csuc.cat/orcid/0000-0001-5073-9573,[],2,Multiple affiliations,2,21,6,6,0,0,0,['Tobacco Control Research Group']
0000-0001-5115-6628,"Vilariño Quintela, Noelia",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou239243'],https://portalrecerca.csuc.cat/orcid/0000-0001-5115-6628,[],2,Multiple affiliations,2,21,13,13,0,0,0,['Preclinical and experimental research in thoracic tumors (PReTT)']
0000-0001-5159-9592,"Varela Perea, Cristian",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou239583'],https://portalrecerca.csuc.cat/orcid/0000-0001-5159-9592,[],2,Multiple affiliations,2,21,2,2,0,0,0,['Nephrology and renal transplantation']
0000-0001-5164-0006,"Villanueva Garatachea, Alberto",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou238855'],https://portalrecerca.csuc.cat/orcid/0000-0001-5164-0006,[],2,Multiple affiliations,2,21,134,134,0,0,0,['Tumor and stromal chemoresistance']
0000-0001-5178-4034,"Chicon Bosch, Mariona",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou240955'],https://portalrecerca.csuc.cat/orcid/0000-0001-5178-4034,[],2,Multiple affiliations,2,21,2,2,0,0,0,['Sarcoma research group']
0000-0001-5192-2767,"Narvaez Seixa, Maite",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou240924'],https://portalrecerca.csuc.cat/orcid/0000-0001-5192-2767,[],2,Multiple affiliations,2,21,1,1,0,0,0,['Tobacco Control Research Group']
0000-0001-5228-7769,"Travier, Noémie",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou240798'],https://portalrecerca.csuc.cat/orcid/0000-0001-5228-7769,[],2,Multiple affiliations,2,21,75,75,0,0,0,['Early Detection of Cancer']
0000-0001-5235-7026,"Moragas Rimblas, Laura",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou240795'],https://portalrecerca.csuc.cat/orcid/0000-0001-5235-7026,[],2,Multiple affiliations,2,21,91,91,0,0,0,['Psychoneurobiology of Eating and Addictive Behaviours']
0000-0001-5256-0163,"Duell, Eric Jeffrey",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou241017'],https://portalrecerca.csuc.cat/orcid/0000-0001-5256-0163,[],2,Multiple affiliations,2,21,173,173,0,0,0,['Colorectal Cancer']
0000-0001-5269-2457,"Farrero Muñoz, Eva",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou241016'],https://portalrecerca.csuc.cat/orcid/0000-0001-5269-2457,[],2,Multiple affiliations,2,21,39,39,0,0,0,['Pneumology']
0000-0001-5284-4481,"Cosialls Castel, Ana Mª","['Universitat de Barcelona', ""Institut d'Investigació Biomèdica de Bellvitge""]","[""Departament d'Infermeria Fonamental i Medicoquirúrgica""]",['UB'],"['/cris/project/pj4988353', '/cris/project/pj4977025', '/cris/project/pj4969612', '/cris/project/pj4987169']","['/cris/ou/ou239702', '/sgr/2021SGR0368']",https://portalrecerca.csuc.cat/orcid/0000-0001-5284-4481,['UB'],6,Multiple affiliations,108,41,26,26,0,0,0,"['Apoptosis and Cancer', '']"
0000-0001-5299-3065,"Souto Sampera, Arnau",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou238922'],https://portalrecerca.csuc.cat/orcid/0000-0001-5299-3065,[],2,Multiple affiliations,2,21,1,1,0,0,0,['Psycho-oncology and Digital Health (PSODIG)']
0000-0001-5301-4236,"Freixa Pamias, Roman",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],[],https://portalrecerca.csuc.cat/orcid/0000-0001-5301-4236,[],2,Multiple affiliations,2,2,1,1,0,0,0,[]
0000-0001-5329-9649,"Morey Cortes, Francisca",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou239477'],https://portalrecerca.csuc.cat/orcid/0000-0001-5329-9649,[],2,Multiple affiliations,2,21,3,3,0,0,0,['Infections and Cancer']
0000-0001-5352-8130,"Oliva Bernal, Marc",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou239142'],https://portalrecerca.csuc.cat/orcid/0000-0001-5352-8130,[],2,Multiple affiliations,2,21,14,14,0,0,0,['Head and neck diseases']
0000-0001-5355-4136,"Ramon Torrell, Jose Maria","['Universitat de Barcelona', ""Institut d'Investigació Biomèdica de Bellvitge""]",['Departament de Ciències Clíniques'],['UB'],"['/cris/project/pj5014796', '/cris/project/pj5011299']",['/cris/ou/ou240495'],https://portalrecerca.csuc.cat/orcid/0000-0001-5355-4136,['UB'],6,Multiple affiliations,54,21,49,49,0,0,0,['Clinical Prevention']
0000-0001-5371-3379,"Serrano Carro, Beatriz",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou239477'],https://portalrecerca.csuc.cat/orcid/0000-0001-5371-3379,[],2,Multiple affiliations,2,21,11,11,0,0,0,['Infections and Cancer']
0000-0001-5373-3310,"Rodríguez Aguilar, Ester",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou239171'],https://portalrecerca.csuc.cat/orcid/0000-0001-5373-3310,[],2,Multiple affiliations,2,21,0,0,0,0,0,['Stem Cell Potency']
0000-0001-5438-6154,"Barrios Cormenzanza, Oriana Carolina",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou240870'],https://portalrecerca.csuc.cat/orcid/0000-0001-5438-6154,[],2,Multiple affiliations,2,21,4,4,0,0,0,['Digestive tract pathology']
0000-0001-5511-074X,"Rigo Bonnin, Raül",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou239256'],https://portalrecerca.csuc.cat/orcid/0000-0001-5511-074X,[],2,Multiple affiliations,2,21,60,60,0,0,0,['Difficult to Treat Infections and Antimicrobians Use']
0000-0001-5542-7878,"Oriol Bermúdez, Isabel",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou240102'],https://portalrecerca.csuc.cat/orcid/0000-0001-5542-7878,[],2,Multiple affiliations,2,21,17,17,0,0,0,['Infections of the Respiratory Tract and in Immunocompromised Patients']
0000-0001-5547-480X,"Fernández Cidón, Bárbara",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou239651'],https://portalrecerca.csuc.cat/orcid/0000-0001-5547-480X,[],2,Multiple affiliations,2,21,3,3,0,0,0,"['Systemic, Vascular Diseases and Ageing']"
0000-0001-5558-024X,"Onieva Hernandez, Irene",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],[],https://portalrecerca.csuc.cat/orcid/0000-0001-5558-024X,[],2,Multiple affiliations,2,2,3,3,0,0,0,[]
0000-0001-5567-2590,"Soler Monsó, Maria Teresa",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou238924'],https://portalrecerca.csuc.cat/orcid/0000-0001-5567-2590,[],2,Multiple affiliations,2,21,25,25,0,0,0,['Transformation and Metastasis']
0000-0001-5571-2847,"Garcia del Muro Solans, Francisco Javier","['Universitat de Barcelona', ""Institut d'Investigació Biomèdica de Bellvitge""]",['Departament de Ciències Clíniques'],['UB'],[],['/cris/ou/ou240955'],https://portalrecerca.csuc.cat/orcid/0000-0001-5571-2847,['UB'],6,Multiple affiliations,2,21,117,117,0,0,0,['Sarcoma research group']
0000-0001-5577-6162,"Jove Font, Mariona","['Universitat de Lleida', 'Institut de Recerca Biomèdica de Lleida – Fundació Dr. Pifarré', ""Institut d'Investigació Biomèdica de Bellvitge"", 'Repositori de Dades de Recerca']",['Departament de Medicina Experimental'],['UdL'],"['/cris/project/pj5002723', '/cris/project/pj4972331', '/cris/project/pj5006055', '/cris/project/pj5016414', '/cris/project/pj5004701', '/cris/project/pj5010995', '/cris/project/pj4976929', '/cris/project/pj4969647', '/cris/project/pj4992788', '/cris/project/pj4997574', '/cris/project/pj4994082', '/cris/project/pj5006194', '/cris/project/pj4974349']","['/cris/ou/ou239235', '/sgr/2021SGR0990', '/cris/ou/ou239243']",https://portalrecerca.csuc.cat/orcid/0000-0001-5577-6162,['UdL'],7,Multiple affiliations,351,62,24,24,0,0,0,"['', '', 'Preclinical and experimental research in thoracic tumors (PReTT)']"
0000-0001-5588-7153,"Rodríguez Cumplido, Dolores",Institut d'Investigació Biomèdica de Bellvitge,[],[],[],['/cris/ou/ou239291'],https://portalrecerca.csuc.cat/orcid/0000-0001-5588-7153,[],2,Multiple affiliations,2,21,6,6,0,0,0,['Neuropharmacology and pain']
